           1     1.20072     1.20072           0
           2     1.19319     1.19695   0.0026609
           3     1.19639     1.19677  0.00178066
           4     1.20875     1.19976  0.00291821
           5     1.19915     1.19964  0.00233714
           6     1.20506     1.20054  0.00211521
           7     1.20119     1.20064  0.00181507
           8     1.19207     1.19957  0.00187748
           9     1.19465     1.19902  0.00174635
          10     1.20653     1.19977  0.00172552
          11     1.20023     1.19981  0.00156917
          12     1.19214     1.19917  0.00156335
          13     1.19927     1.19918  0.00144311
          14     1.20193     1.19938  0.00135338
          15      1.1938     1.19901  0.00131315
          16     1.20097     1.19913  0.00123682
          17     1.20139     1.19926  0.00117122
          18      1.2027     1.19945  0.00112164
          19      1.1968     1.19931  0.00107129
          20      1.2104     1.19987  0.00115221
           1     1.65419     1.65419           0
           2     1.62907     1.64163  0.00888112
           3     1.65494     1.64607  0.00694038
           4     1.63405     1.64306  0.00581891
           5     1.68066     1.65058  0.00817868
           6     1.66965     1.65376  0.00740754
           7     1.64649     1.65272  0.00642174
           8      1.6401     1.65114  0.00580965
           9     1.66005     1.65213  0.00524764
          10     1.61901     1.64882  0.00567253
          11     1.66117     1.64994  0.00526679
          12     1.66197     1.65095   0.0049223
          13     1.63159     1.64946   0.0047635
          14     1.68407     1.65193  0.00502413
          15     1.65108     1.65187   0.0046895
          16     1.70011     1.65489  0.00527718
          17     1.65581     1.65494  0.00496703
          18     1.64113     1.65417  0.00475001
          19     1.63091     1.65295  0.00465513
          20     1.62509     1.65156  0.00462608
           1      1.7818      1.7818           0
           2     1.76736     1.77458  0.00510624
           3     1.83371     1.79429   0.0164498
           4     1.80413     1.79675   0.0125202
           5      1.7967     1.79674   0.0100162
           6     1.81178     1.79925  0.00865465
           7      1.8349     1.80434  0.00879027
           8     1.81324     1.80545  0.00776153
           9     1.84278      1.8096  0.00793012
          10     1.78121     1.80676  0.00762839
          11      1.7995      1.8061  0.00696336
          12     1.79212     1.80494  0.00647975
          13     1.81395     1.80563  0.00601832
          14     1.77505     1.80345  0.00597172
          15     1.81367     1.80413  0.00561238
          16     1.80831     1.80439  0.00526769
          17      1.7875     1.80339   0.0050506
          18     1.79873     1.80314  0.00477666
          19     1.75314      1.8005  0.00519969
          20     1.79353     1.80016  0.00495137
