           1    -5.45847    -5.45847           0
           2     -5.4583    -5.45839  5.7957e-05
           3    -5.45848    -5.45842 4.69121e-05
           4    -5.45816    -5.45835 6.68309e-05
           5    -5.45747    -5.45818 0.000166044
           6    -5.45721    -5.45802 0.000202245
           7    -5.45834    -5.45806 0.000178753
           8    -5.45902    -5.45818 0.000192171
           9    -5.45779    -5.45814 0.000175601
          10    -5.45841    -5.45817 0.000160194
          11    -5.45903    -5.45824 0.000163884
          12    -5.45743    -5.45818 0.000163825
          13    -5.45852     -5.4582  0.00015328
          14    -5.45728    -5.45814 0.000155773
          15     -5.4569    -5.45805 0.000165783
          16    -5.45885     -5.4581 0.000162624
          17    -5.45817    -5.45811 0.000153102
          18    -5.45867    -5.45814 0.000147751
          19    -5.45793    -5.45813  0.00014038
          20    -5.45918    -5.45818 0.000142827
           1    -3.38044    -3.38044           0
           2    -3.38018    -3.38031 9.24807e-05
           3    -3.37924    -3.37995 0.000295984
           4    -3.37911    -3.37974 0.000286798
           5    -3.38059    -3.37991 0.000274669
           6    -3.38284     -3.3804 0.000500468
           7    -3.38211    -3.38064 0.000485019
           8     -3.3816    -3.38076 0.000438997
           9    -3.37974    -3.38065  0.00040471
          10    -3.38002    -3.38059  0.00036906
          11    -3.37981    -3.38052 0.000342292
          12    -3.37912     -3.3804 0.000333009
          13    -3.37988    -3.38036  0.00030975
          14     -3.3793    -3.38028 0.000296742
          15    -3.37987    -3.38026 0.000278252
          16    -3.38051    -3.38027 0.000261318
          17    -3.38034    -3.38028 0.000245977
          18    -3.38013    -3.38027 0.000232442
          19    -3.38041    -3.38028 0.000220335
          20    -3.38067     -3.3803 0.000210174
           1     1.38764     1.38764           0
           2     1.38766     1.38765 4.81436e-06
           3     1.38752     1.38761 3.54831e-05
           4     1.38756      1.3876 2.82182e-05
           5     1.38762      1.3876 2.31217e-05
           6     1.38754     1.38759 2.17063e-05
           7     1.38755     1.38759 1.94569e-05
           8     1.38756     1.38758 1.72566e-05
           9     1.38751     1.38757 1.70009e-05
          10     1.38766     1.38758 1.74418e-05
          11     1.38756     1.38758 1.60039e-05
          12     1.38762     1.38758 1.49721e-05
          13     1.38749     1.38758 1.55071e-05
          14     1.38763     1.38758 1.48614e-05
          15     1.38756     1.38758 1.39317e-05
          16      1.3877     1.38759 1.48198e-05
          17     1.38768     1.38759 1.48944e-05
          18     1.38766      1.3876 1.45257e-05
          19     1.38762      1.3876 1.38161e-05
          20     1.38757      1.3876 1.32093e-05
