0	0.122649	0.169918
17	0.0839539	0.159259
30	0.133804	0.0534795
11	0.233157	0.193293
14	0.257893	0.239268
33	0.272751	0.251365
8	0.279233	0.545858
13	0.479138	0.49426
2	0.477115	0.571835
15	0.471797	0.584917
16	0.616809	0.580468
20	0.686006	0.369351
1	0.729649	0.331166
21	0.651955	0.213852
19	0.501858	0.024284
22	0.67838	0.0982145
31	0.713423	0.111777
3	0.705029	0.0860072
6	0.776048	0.0211376
29	0.813285	0.0179424
32	0.985475	0.399022
18	0.931865	0.754052
28	0.918855	0.939875
26	0.765764	0.970267
4	0.656019	0.905484
24	0.577269	0.840005
12	0.493226	0.756047
5	0.371496	0.836567
27	0.22611	0.99461
10	0.0646429	0.754654
23	0.12096	0.680137
7	0.168325	0.572439
9	0.0173017	0.583179
25	0.0527608	0.453507
